id	instruments	genres	place	coordinates	is-danced	youtube-id	start-ts	end-ts
berati	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Macedonian|Vlachic	Macedonia	40.910884328073564|23.22153108200181	1	gMz1OBS9FlQ	6130	6426
berati-2	Trumpet|Trombone|Percussion|Klarino|Accordion	Traditional|Macedonian	Macedonia|Kozani	40.30224449405656|21.79364300779031	1	dIqJ-N3_Tso	4915	5127
berati-4	Violin|Percussion|Laouto|Klarino	Traditional|Epirotic	Epirus	39.66608483034404|20.826263473906028	1	ifRo_Z05kuQ	2873	3175
berati-5	Violin|Percussion|Laouto|Klarino	Traditional|Epirotic	Epirus|Pogoni	39.957398151152326|20.502372173521454	0	qrOwc1mLFUk	2716	2935
bikan-oi-rouses-ston-choro	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Epirotic	Epirus|Syrrako	39.59709819947839|21.123307489736774	0	qrOwc1mLFUk	4413	4552
bir-allach	Voice|Piano|Guitar|Bouzouki|Bass|Accordion	Rebetiko	None	None	1	tzCMruLs9bM	4747	4984
birbilomata	Voice|Violin|Santouri|Percussion|Laouto|Klarino	Traditional|Nisiotiko|Euboean	Euboea	38.50843106661583|24.003613925733106	1	ozHAP8gMIY8	3152	3359
biro-gianno	Voice|Violin|Tsampouna|Percussion|Laouto	Traditional|Nisiotiko|Euboean|Arvanitic	Euboea	38.50843106661583|24.003613925733106	1	ozHAP8gMIY8	5890	5959
bizerisa-mor-mana	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Thessalic	Thessaly	39.57905217840133|22.421756857721853	1	8gH9iexkXME	2407	2592
bochoris	Voice|Violin|Guitar|Cimbalom|Bass|Accordion	Traditional|Mikrasiatiko	Asia-minor|Smyrni	38.40759370339183|27.149200099431013	1	TpK-XXFl51o	5686	5828
bochoris-2	Voice|Mandolin|Guitar|Bass|Accordion	Rebetiko	None	None	0	VrnG_gxNwH8	1179	1466
bourdarikos	Violin|Santouri|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Paros	37.059547738452586|25.18271237956369	1	jpktBKou-_E	4802	4904
bournova-me-krya-nera	Voice|Violin|Guitar|Cimbalom|Bass|Accordion	Traditional|Mikrasiatiko	Asia-minor|Smyrni	38.40759370339183|27.149200099431013	1	TpK-XXFl51o	439	625
bournovas	Voice|Violin|Santouri|Percussion|Oud|Guitar	Traditional|Mikrasiatiko	Asia-minor|Smyrni	38.40759370339183|27.149200099431013	1	5fJXkyrSxo4	5366	5566
boutzalia	Voice|Violin|Guitar|Cimbalom|Bass|Accordion	Urban-folk|Mikrasiatiko	Asia-minor|Smyrni	38.40759370339183|27.149200099431013	0	TpK-XXFl51o	644	751
brafos-vlacha	Voice|Tsampouna	Traditional|Nisiotiko|Aegean	Aegean-sea|Samos	37.740408557878254|26.8494581451878	1	Uijl65qxrrg	3804	3869
bratsera-leros	Voice|Violin|Santouri|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Leros	37.14755671861759|26.843283690546272	0	CPLOoAZonTI	5363	5609
bros-sta-kleista-parathyra	Voice|Guitar|Bouzouki|Baglamas|Accordion	Laiko	None	None	0	YEPmaDr_UMA	3914	4099
cecen-kizi-ta-xyla	Violin|Santouri|Percussion|Laouto|Klarino	Traditional|Nisiotiko|Aegean	Aegean-sea|Lesbos	39.23867882632123|26.256429816602346	1	U6oWHEVNvfY	5147	5367
chalai	Voice|Percussion|Lyra	Traditional|Pontian	Pontus	40.98830222241354|39.727075504282254	1	VmaUraZpvI8	2436	2659
chalai-2	Zournas|Percussion	Traditional|Pontian	Pontus	40.98830222241354|39.727075504282254	1	i6kJdvFwCoA	1791	1936
chaniotiko-mou-giasemi-2	Voice|Percussion|Ney|Mandolin|Guitar	Traditional|Nisiotiko|Cretan	Crete|West-Crete	35.37370218378025|23.868071426508525	0	XpfvGga-5tU	5615	5746
chariklaki	Voice|Percussion|Oud|Lyra	Rebetiko	None	None	0	-YUXPO1BSRw	4142	4401
chasapia	Violin|Percussion|Laouto|Klarino|Guitar	Traditional|Macedonian	Macedonia	40.910884328073564|23.22153108200181	1	5z-ZGft2zCI	3153	3220
chasapia-makedonias	Violin|Santouri|Percussion|Laouto|Klarino	Traditional|Macedonian	Macedonia	40.910884328073564|23.22153108200181	0	U6oWHEVNvfY	210	307
chasapikos-beikos	Violin|Guitar|Cimbalom|Bass|Accordion	Traditional|Mikrasiatiko|Politiko	Asia-minor|Poli	41.01536713612946|29.015778607989805	1	TpK-XXFl51o	6360	6554
chasaposervikos-choros	Guitar|Bouzouki|Bass|Accordion	Rebetiko	None	None	1	q9e6UQh6d0c	6464	6577
chavadia	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Epirotic	Epirus|Zagori	39.86483576229186|20.928467851900137	1	UaYoyQPZEuo	4331	4560
chavadia-2	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Epirotic	Epirus	39.66608483034404|20.826263473906028	0	qrOwc1mLFUk	4746	5107
chavas-tou-kantouni	Voice|Violin|Santouri|Lyra|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Leros	37.14755671861759|26.843283690546272	0	CPLOoAZonTI	4407	4668
cheimariotiko	Voice|Violin|Percussion|Laouto|Klarino|Guitar	Traditional|Epirotic	Epirus|Himara	40.108490501738515|19.755814238711917	1	GIOAt5GHt3I	2584	2855
cheimariotiko-2	Violin|Percussion|Laouto|Klarino	Traditional|Epirotic	Epirus|Himara	40.108490501738515|19.755814238711917	1	ifRo_Z05kuQ	4116	4173
cheimariotiko-3	Voice|Violin|Percussion|Laouto	Traditional|Epirotic	Epirus|Himara	40.108490501738515|19.755814238711917	0	EoJoqvZukgw	4664	4931
chelmos-paradosiako	Voice|Guitar|Bass|Accordion	Traditional|Mikrasiatiko	Asia-minor|Smyrni	38.40759370339183|27.149200099431013	0	ysRZQuuew_A	2	216
chiotissa-pergamos	Voice|Violin|Santouri|Klarino|Guitar|Cimbalom|Bass|Accordion	Traditional|Mikrasiatiko	Asia-minor	38.5231944247523|26.521702731335296	0	e5WVqHyTui4	2981	3213
chitzaz	Voice|Violin|Percussion|Klarino|Guitar|Accordion	Laiko	None	None	0	vJ4F64WkQA0	2282	2440
chitzaz-mantilatos-thrakis	Violin|Santouri|Klarino|Guitar|Cimbalom|Bass|Accordion	Traditional|Thracian	Thrace	40.99020017616846|26.004757197151037	1	e5WVqHyTui4	3237	3405
chora	Violin|Percussion|Laouto|Klarino	Traditional|Central-Greek	Central-Greece	38.87601135662379|22.319114372276747	1	5z-ZGft2zCI	2258	2305
chora-2	Violin|Guitar|Cimbalom|Bass|Accordion	Traditional|Romanian	Romania	44.37315771875794|25.424802192291242	0	TpK-XXFl51o	4304	4351
chora-5	Violin|Tambouras|Percussion|Laouto	Traditional|Romanian	Romania	44.37315771875794|25.424802192291242	0	vzCauXf6VhE	5883	5996
chora-agiasou	Violin|Santouri|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Lesbos	39.23867882632123|26.256429816602346	1	jpktBKou-_E	2230	2304
chorefte-dyo-mou-matia	Voice|Violin|Tsampouna|Santouri|Percussion|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Paros	37.059547738452586|25.18271237956369	1	jpktBKou-_E	6230	6325
chorepse-xene	Voice|Percussion|Guitar|Bass|Accordion	Traditional|Southern-Italian	Southern-Italy	37.4956965444923|14.488217381442661	1	fooYiNew79E	4965	5268
chorepsete-chorepsete	Voice|Violin|Santouri|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Naxos	37.05683517815581|25.50612611053723	1	CPLOoAZonTI	6455	6573
chores	Violin|Percussion|Laouto|Klarino|Guitar	Traditional|Romanian	Romania	44.37315771875794|25.424802192291242	0	GIOAt5GHt3I	127	364
choros-agkaliastos	Voice|Violin|Laouto|Guitar	Traditional|Nisiotiko|Cretan	Crete	35.19124573828352|25.024171535651924	1	e206O9UMfN0	2435	2767
choros-issos	Violin|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Kalymnos	36.987573229226555|26.988755984703815	1	-Lae0QmE15A	1911	2121
choros-issos-painemata	Voice|Tsampouna	Traditional|Nisiotiko|Aegean	Aegean-sea|Kalymnos	36.987573229226555|26.988755984703815	1	-Lae0QmE15A	5166	5365
choros-michanikos	Violin|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Kalymnos	36.987573229226555|26.988755984703815	1	-Lae0QmE15A	3326	3589
choros-priniotaki	Violin|Laouto|Guitar	Traditional|Nisiotiko|Cretan	Crete	35.19124573828352|25.024171535651924	1	e206O9UMfN0	2961	3164
choros-roditikos	Voice|Violin|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Kalymnos	36.987573229226555|26.988755984703815	1	-Lae0QmE15A	4067	4338
choros-romvia	Violin|Santouri|Percussion|Oud|Guitar	Traditional|Mikrasiatiko|Politiko	Asia-minor|Poli	41.01536713612946|29.015778607989805	0	5fJXkyrSxo4	48	238
choros-samiotikos	Violin|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Kalymnos	36.987573229226555|26.988755984703815	1	-Lae0QmE15A	5520	5808
choros-sia-siganos-kefalou	Violin|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Kos	36.85248114414557|27.228892044478616	1	CJ7m2WduEh8	5229	5464
choros-sianos	Violin|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Kos	36.85248114414557|27.228892044478616	1	CJ7m2WduEh8	3084	3279
choros-thymariotikos	Voice|Violin|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Kalymnos	36.987573229226555|26.988755984703815	1	-Lae0QmE15A	2511	2721
choros-tik	Percussion|Lyra	Traditional|Pontian	Pontus	40.98830222241354|39.727075504282254	1	Aws0Y3aLaIs	1731	1886
choros-ton-koutalion-kappadokias	Tambouras|Percussion|Ney	Traditional|Mikrasiatiko	Asia-minor|Cappadocia	38.33834045423469|35.10715710326277	0	Aws0Y3aLaIs	1252	1388
chortarakia-apo-to-livadi	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Peloponnesian	Peloponnese	37.200485993306756|22.362045452582027	1	6bLFhgwoKsY	4465	4683
chouzam	Violin|Santouri|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea	38.5853888564289|25.564763646019834	0	jpktBKou-_E	1458	1630
chramaki-aperathitiko	Voice|Violin|Santouri|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Naxos	37.05683517815581|25.50612611053723	0	EoJoqvZukgw	6037	6119
christodoulos	Trumpet|Trombone|Percussion|Klarino|Accordion	Traditional|Macedonian	Macedonia|Kozani	40.30224449405656|21.79364300779031	1	dIqJ-N3_Tso	1386	1587
ciftilareasa	Violin|Guitar|Cimbalom|Bass|Accordion	Traditional|Romanian	Romania	44.37315771875794|25.424802192291242	0	TpK-XXFl51o	1794	1824
cogli-la-prima-mela	Voice|Violin|Tuba|Percussion|Guitar|Flute|Bassoon	Newer|Arrangement	None	None	0	2_xwDiunBrs	5001	5260
cosimino	Voice|Percussion|Guitar|Bass|Accordion	Traditional|Southern-Italian	Southern-Italy	37.4956965444923|14.488217381442661	1	fooYiNew79E	4294	4570
den-akous-peristerouda-mou-kalanta-thrakis-sygkathistos	Voice|Violin|Percussion|Oud|Lyra|Klarino|Accordion	Traditional|Thracian	Thrace	40.99020017616846|26.004757197151037	1	fooYiNew79E	1237	1483
den-boro-na-katalavo	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Epirotic|Vlachic	Epirus|Metsovo	39.77279687831799|21.180210833893486	1	wFOvhBpFM1o	3641	3751
den-m-agapas	Voice|Piano|Guitar|Bouzouki|Bass|Accordion	Laiko	None	None	0	tzCMruLs9bM	5466	5652
den-paei-kato-to-krasi	Voice|Guitar|Bouzouki|Bass|Accordion	Laiko	None	None	0	GgGRYZMKezE	4843	5036
den-pao-pia-ston-galata	Voice|Violin|Guitar|Cimbalom|Bass|Accordion	Rebetiko|Mikrasiatiko|Politiko	Asia-minor|Poli	41.01536713612946|29.015778607989805	1	TpK-XXFl51o	5066	5236
deropolitiko-sta-tria	Violin|Percussion|Laouto|Klarino	Traditional|Epirotic	Epirus|Deropolis	39.957412525980494|20.265997047721275	0	KzKkszPd-eM	1312	1405
deropolitissa	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Epirotic	Epirus|Deropolis	39.957412525980494|20.265997047721275	1	ifRo_Z05kuQ	4214	4576
detos-meston	Voice	Traditional|Nisiotiko|Aegean	Aegean-sea|Chios	38.42426026626016|26.058525334235867	0	_mUIVNdIJFU	941	1062
detos-pyrgiou	Voice	Traditional|Nisiotiko|Aegean	Aegean-sea|Chios	38.42426026626016|26.058525334235867	1	_mUIVNdIJFU	3443	3678
detos-tou-xenitemenou	Voice	Traditional|Nisiotiko|Aegean	Aegean-sea|Chios	38.42426026626016|26.058525334235867	0	J-PqcxTXtp4	1231	1383
dimitrakis	Voice|Trumpet|Trombone|Percussion|Klarino	Traditional|Macedonian	Macedonia	40.910884328073564|23.22153108200181	1	gMz1OBS9FlQ	5559	5717
dimitrakis-2	Trumpet|Trombone|Percussion|Klarino	Traditional|Macedonian	Macedonia	40.910884328073564|23.22153108200181	1	UaYoyQPZEuo	5531	5629
dimitroula	Voice|Percussion|Oud|Lyra	Rebetiko	None	None	1	-YUXPO1BSRw	3329	3584
dimitroula-mou	Voice|Percussion|Guitar|Bouzouki|Bass|Accordion	Rebetiko	None	None	1	pxhw04LZhiY	1143	1335
dimitroula-mou-2	Voice|Violin|Santouri|Laouto|Bass	Rebetiko	None	None	1	q9e6UQh6d0c	910	1042
disticha	Voice|Lyra	Traditional|Pontian	Pontus	40.98830222241354|39.727075504282254	0	i6kJdvFwCoA	42	175
drakoulas-sevntalis	Voice|Violin|Guitar|Cimbalom|Bass|Accordion	Traditional|Mikrasiatiko	Asia-minor|Smyrni	38.40759370339183|27.149200099431013	0	TpK-XXFl51o	2155	2374
driminitsa	Percussion|Laouto|Klarino	Traditional|Epirotic	Epirus	39.66608483034404|20.826263473906028	0	tbbAWeVEHFQ	6146	6580
driminitsa-2	Violin|Percussion|Laouto|Klarino	Traditional|Epirotic	Epirus|Pogoni	39.957398151152326|20.502372173521454	1	8gH9iexkXME	5578	5657
dyo-dyo	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Epirotic	Epirus|Konitsa	40.05962666536191|20.733372899966845	1	UaYoyQPZEuo	2837	2980
dyo-filoi-balos	Voice|Violin|Santouri|Laouto|Klarino|Accordion	Traditional|Nisiotiko|Aegean	Aegean-sea|Samos	37.740408557878254|26.8494581451878	1	Uijl65qxrrg	5968	6236
dyssea-pou-xecheimases	Voice|Violin|Santouri|Percussion|Laouto|Klarino	Traditional|Epirotic	Epirus	39.66608483034404|20.826263473906028	0	vJ4F64WkQA0	4336	4644
echasa-mantili-sygkathistos	Trumpet|Trombone|Percussion|Klarino	Traditional|Macedonian|Vlachic	Macedonia	40.910884328073564|23.22153108200181	1	gMz1OBS9FlQ	5805	5957
eche-geia-panta-geia	Voice|Violin|Santouri|Percussion|Laouto|Klarino|Guitar	Traditional|Mikrasiatiko|Politiko	Asia-minor|Poli	41.01536713612946|29.015778607989805	1	5z-ZGft2zCI	6167	6384
echeis-kormi-arapiko	Voice|Percussion|Guitar|Bouzouki|Bass|Accordion	Laiko	None	None	1	pxhw04LZhiY	1995	2190
ederlezi-2	Voice|Guitar|Bass|Accordion	Newer	None	None	0	VrnG_gxNwH8	3018	3282
edo-ein-aloni-gia-choro	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Sarakatsani	None	None	1	FXS9jCtkFLk	6262	6390
edo-s-afti-ti-geitonia	Voice|Trumpet|Trombone|Percussion|Klarino|Accordion	Traditional|Macedonian	Macedonia|Kozani	40.30224449405656|21.79364300779031	1	dIqJ-N3_Tso	1613	1915
efilisa-melachrini-arekeia	Voice	Traditional|Nisiotiko|Ionian	Ionian-sea	38.43167066526269|20.675489887943545	0	Aws0Y3aLaIs	5305	5533
ego-eimai-i-vlacha-i-emorfi	Voice	Traditional|Epirotic|Vlachic	Epirus|Metsovo	39.77279687831799|21.180210833893486	0	wFOvhBpFM1o	1221	1425
ego-gia-tin-parea-mou	Voice|Santouri|Laouto	Traditional|Peloponnesian	Peloponnese	37.200485993306756|22.362045452582027	0	U6oWHEVNvfY	1732	1866
ego-imouna-t-antiklaro	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Sarakatsani	None	None	1	FXS9jCtkFLk	2577	2851
ego-tha-kopso-to-krasi	Voice|Violin|Piano|Guitar|Bass|Accordion	Urban-folk|Urban-light	None	None	0	Desg3iWdxGU	5733	6007
ego-tha-kopso-to-krasi-2	Voice|Mandolin|Guitar|Bass	Urban-folk|Urban-light	None	None	0	GgGRYZMKezE	1462	1731
ego-tha-paro-dyo	Voice|Tsampouna|Percussion|Laouto	Traditional|Nisiotiko|Euboean	Euboea	38.50843106661583|24.003613925733106	1	ozHAP8gMIY8	5520	5643
ego-tha-s-agapo	Voice|Violin|Piano|Bass|Accordion	Urban-folk|Urban-light	None	None	0	Desg3iWdxGU	6402	6569
ego-to-pino-kai-to-leo	Voice|Mandolin|Guitar|Bass	Urban-folk|Urban-light	None	None	0	GgGRYZMKezE	2460	2644
eicha-mia-agapi	Voice|Percussion|Ney|Mandolin|Guitar	Newer	None	None	0	XpfvGga-5tU	455	725
eikosiena	Percussion|Accordion	Traditional|Pontian	Pontus	40.98830222241354|39.727075504282254	1	i6kJdvFwCoA	6415	6640
eimaste-dyo-eimaste-treis	Voice|Violin|Santouri|Percussion|Laouto|Floghera	Traditional|Sarakatsani	None	None	0	cYE9_TXCmHs	948	1242
einai-arga-poly-arga	Voice|Piano|Guitar|Bouzouki|Bass|Accordion	Laiko	None	None	0	zkoqg3VRVLA	2365	2614
eisai-chtikio-giorgos-mitsakis	Voice|Guitar|Bouzouki|Baglamas|Accordion	Rebetiko	None	None	0	L3fe3KGksU8	3188	3401
ela-opos-eisai	Voice|Percussion|Guitar|Bouzouki|Bass|Accordion	Laiko	None	None	1	pxhw04LZhiY	5932	6047
eleni	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Thessalic	Thessaly	39.57905217840133|22.421756857721853	1	8gH9iexkXME	2692	2895
eleni-2	Voice|Piano|Guitar|Bouzouki|Bass|Accordion	Newer|Melodized-poetry	None	None	0	cKXi8_5_Rd4	4822	5111
eleni-apo-leivartzi	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Peloponnesian	Peloponnese	37.200485993306756|22.362045452582027	1	6bLFhgwoKsY	3198	3473
ellada-lengko	Voice|Piano|Guitar|Bass|Accordion	Newer	None	None	0	cKXi8_5_Rd4	1996	2342
elli	Voice|Violin|Santouri|Guitar|Cimbalom|Bass|Accordion	Traditional|Mikrasiatiko	Asia-minor	38.5231944247523|26.521702731335296	1	e5WVqHyTui4	1993	2181
ematha-arravoniastikes-choros-isos	Voice|Violin|Santouri|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea	38.5853888564289|25.564763646019834	0	EoJoqvZukgw	3895	4019
ematha-pos-eisai-magkas-2	Voice|Violin|Percussion|Oud|Klarino|Accordion	Rebetiko	None	None	0	vJ4F64WkQA0	2960	3189
emeis-edo-den-irthame	Zournas|Voice|Percussion	Traditional|Peloponnesian	Peloponnese|Arcadia	37.521613336357674|22.372682419794433	1	o4XzhbCL0QM	411	603
emeis-kala-ton-iyrame	Voice|Violin|Laouto|Klarino|Floghera	Traditional|Peloponnesian	Peloponnese	37.200485993306756|22.362045452582027	0	6bLFhgwoKsY	2360	2570
en-velgio	Voice|Guitar|Bouzouki|Bass|Accordion	Newer	None	None	0	ysRZQuuew_A	5711	5915
ena-atseri-peftei-peftei	Voice|Guitar|Bouzouki|Bass|Accordion	Laiko	None	None	0	vl46xtCpsEw	3778	3946
ena-karavi-apo-ti-chio	Voice|Violin|Santouri|Laouto|Bass	Traditional|Nisiotiko|Aegean	Aegean-sea	38.5853888564289|25.564763646019834	1	q9e6UQh6d0c	1138	1297
ena-savvato-vrady	Voice	Traditional|Peloponnesian	Peloponnese|Arcadia	37.521613336357674|22.372682419794433	1	o4XzhbCL0QM	2796	2908
enan-astron-exeven-choros-dipat	Voice|Percussion|Lyra|Laouto	Traditional|Pontian	Pontus	40.98830222241354|39.727075504282254	1	VmaUraZpvI8	409	646
enas-diavatis-stavros-tzouanakos-kostas-kofiniotis	Voice|Guitar|Bouzouki|Bass|Accordion	Rebetiko	None	None	0	L3fe3KGksU8	4951	5144
enas-leventis-choreve	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Sarakatsani	None	None	1	FXS9jCtkFLk	5442	5772
englezitsa	Voice|Violin|Santouri|Laouto	Traditional|Mikrasiatiko	Asia-minor|Smyrni	38.40759370339183|27.149200099431013	1	jpktBKou-_E	3245	3368
ennia-chiliades-provata-tsamikos	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Thessalic|Vlachic	Thessaly	39.57905217840133|22.421756857721853	1	gMz1OBS9FlQ	4668	4896
enteka	Voice|Trumpet|Trombone|Percussion|Klarino	Traditional|Macedonian	Macedonia	40.910884328073564|23.22153108200181	0	guoEekslQ2M	6149	6365
epses-propses-eperasa	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Epirotic|Vlachic	Epirus|Metsovo	39.77279687831799|21.180210833893486	1	wFOvhBpFM1o	4341	4526
eri-pali	Voice|Violin|Santouri|Percussion|Guitar	Traditional|Nisiotiko|Aegean	Aegean-sea|Lesbos	39.23867882632123|26.256429816602346	0	EoJoqvZukgw	2453	2616
erixa-ta-matakia-mou	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Sarakatsani	None	None	1	FXS9jCtkFLk	3407	3605
erotokritos-3	Voice|Violin|Mandolin|Guitar	Traditional|Nisiotiko|Cretan	Crete	35.19124573828352|25.024171535651924	0	e206O9UMfN0	4147	4356
eseis-chelidonakia-mou	Voice|Violin|Percussion|Laouto	Traditional|Peloponnesian	Peloponnese|Arcadia	37.521613336357674|22.372682419794433	1	o4XzhbCL0QM	5999	6160
eseis-poulia-petoumena	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Macedonian	Macedonia|Grevena	40.08538883719564|21.41961215567693	0	8gH9iexkXME	1870	2093
eseis-vouna-mou-omorfa	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Central-Greek	Central-Greece	38.87601135662379|22.319114372276747	0	qrOwc1mLFUk	3478	3675
esperos	Percussion|Ney|Mandolin|Guitar	Newer	None	None	0	XpfvGga-5tU	2	191
esy-pasa-mou-fae-kai-pie	Voice|Guitar|Bouzouki|Bass|Accordion	Laiko	None	None	0	vl46xtCpsEw	1731	1954
esy-pou-serneis-to-choro	Voice|Violin|Santouri|Percussion|Oud|Guitar	Traditional|Mikrasiatiko|Politiko	Asia-minor|Poli	41.01536713612946|29.015778607989805	1	5fJXkyrSxo4	1864	1994
etaire-argyroupolis	Voice|Percussion|Lyra|Laouto	Traditional|Pontian	Pontus	40.98830222241354|39.727075504282254	1	VmaUraZpvI8	5538	5701
etsertsan-to-kamisi-m-tik-diplon	Voice|Percussion|Lyra|Laouto	Traditional|Pontian	Pontus	40.98830222241354|39.727075504282254	1	VmaUraZpvI8	1055	1198
evga-mana-m-kai-chouiaxe	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Sarakatsani	None	None	1	FXS9jCtkFLk	3789	4055
eviva-rempetes	Voice|Guitar|Bouzouki|Bass|Accordion	Laiko	None	None	0	vl46xtCpsEw	6368	6552
evraiopoula	Violin|Santouri|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Kos	36.85248114414557|27.228892044478616	1	CJ7m2WduEh8	4259	4514
ezisa-stin-amerika	Voice|Guitar|Bouzouki|Bass|Baglamas|Accordion	Laiko	None	None	0	ysRZQuuew_A	2461	2675
felaches-glykies	Voice|Percussion|Guitar|Bouzouki|Bass|Accordion	Laiko	None	None	0	pxhw04LZhiY	1788	1968
fengari-magia-moukanes	Voice|Guitar|Bouzouki|Bass|Accordion	Laiko	None	None	0	ysRZQuuew_A	4458	4672
fengaroprosopi-3	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Epirotic	Epirus|Zagori	39.86483576229186|20.928467851900137	1	UaYoyQPZEuo	3877	4056
fere-mas-kapela-krasi	Voice|Guitar|Bouzouki|Bass|Accordion	Rebetiko	None	None	0	GgGRYZMKezE	4299	4502
ferte-mia-koupa-me-krasi	Voice|Guitar|Bouzouki|Bass|Accordion	Laiko	None	None	0	vl46xtCpsEw	2202	2428
fexe-mou-fengaraki-mou	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Central-Greek	Central-Greece	38.87601135662379|22.319114372276747	1	00SbCAkyXhQ	2724	2938
fexe-mou-fengaraki-mou-2	Voice|Violin|Percussion|Laouto|Klarino|Guitar	Traditional|Central-Greek	Central-Greece	38.87601135662379|22.319114372276747	1	GIOAt5GHt3I	5251	5440
fiata-mor-mousiata	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Epirotic|Vlachic	Epirus|Metsovo	39.77279687831799|21.180210833893486	1	UaYoyQPZEuo	5127	5275
filoi-mou-kalos-orisate	Voice	Traditional|Central-Greek	Central-Greece	38.87601135662379|22.319114372276747	0	00SbCAkyXhQ	1648	1764
foras-kainourgia-foresia	Voice|Violin|Percussion|Laouto|Klarino|Guitar	Traditional|Central-Greek	Central-Greece	38.87601135662379|22.319114372276747	1	GIOAt5GHt3I	6087	6161
fragkosyriani	Voice|Guitar|Bouzouki|Bass|Accordion	Rebetiko	None	None	0	q9e6UQh6d0c	5130	5316
frasia	Percussion|Laouto|Klarino	Traditional|Epirotic	Epirus	39.66608483034404|20.826263473906028	0	tbbAWeVEHFQ	5023	5360
ftocheia-pou-me-koureliases	Voice|Piano|Guitar|Bouzouki|Bass|Accordion	Rebetiko	None	None	0	tzCMruLs9bM	3748	3993
fylakisia-aftoschedia-disticha	Voice|Violin|Mandolin|Laouto|Guitar	Traditional|Nisiotiko|Ionian	Ionian-sea	38.43167066526269|20.675489887943545	0	Aws0Y3aLaIs	4716	5101
fysouni	Percussion|Laouto|Klarino	Traditional|Epirotic	Epirus	39.66608483034404|20.826263473906028	0	tbbAWeVEHFQ	4403	4755
fysouni-2	Violin|Tambouras|Percussion|Laouto	Traditional|Epirotic	Epirus	39.66608483034404|20.826263473906028	0	vzCauXf6VhE	10	358
gaitan	Percussion|Lyra|Laouto	Traditional|Pontian	Pontus	40.98830222241354|39.727075504282254	1	VmaUraZpvI8	4331	4483
galata-manes	Voice|Violin|Santouri|Percussion|Oud|Kanonaki	Traditional|Mikrasiatiko|Politiko	Asia-minor|Poli	41.01536713612946|29.015778607989805	0	5fJXkyrSxo4	1361	1634
gamilio-syrto-makedonias	Violin|Santouri|Percussion|Laouto|Klarino	Traditional|Macedonian	Macedonia	40.910884328073564|23.22153108200181	0	U6oWHEVNvfY	639	783
gaouristines	Violin|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Kos	36.85248114414557|27.228892044478616	1	CJ7m2WduEh8	5634	5716
gargan-i-leilek-choronou	Zournas|Percussion	Traditional|Pontian	Pontus	40.98830222241354|39.727075504282254	1	i6kJdvFwCoA	3543	3684
gela-agapa-kai-tragouda	Trumpet|Trombone|Percussion|Klarino|Accordion	Urban-folk|Urban-light	None	None	1	dIqJ-N3_Tso	5664	5774
genovefa-2	Violin|Percussion|Laouto	Traditional|Epirotic	Epirus|Preveza	38.9756137452637|20.740179056641786	0	guoEekslQ2M	5499	5745
geragotikos-syrtos-lesvos	Violin|Santouri|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Lesbos	39.23867882632123|26.256429816602346	1	CPLOoAZonTI	1202	1292
